"Pax","Issue.Date","Sector","Cls","Net"
1,16,1,6,3195
1,16,2,5,4279
1,16,5,6,3195
1,16,5,6,3195
1,16,2,6,3195
1,16,3,6,2200
1,16,3,6,2200
1,16,5,6,3195
1,16,2,6,3195
1,16,5,6,3195
1,16,5,6,3195
1,16,6,6,2694
1,16,4,6,3695
1,16,1,6,3495
1,16,1,6,3495
1,16,6,6,2694
1,16,6,6,2694
1,16,4,6,3200
1,16,4,6,3200
1,16,5,6,3399
1,16,1,6,3495
1,16,1,6,3495
1,16,6,6,2200
1,16,6,6,2200
1,16,5,6,3399
1,16,6,6,2200
1,16,6,6,2200
1,16,3,6,2500
1,16,3,6,2500
1,16,6,6,2200
1,16,5,6,3399
1,16,5,6,3399
1,16,5,6,3399
1,16,5,6,3399
1,16,1,6,3495
1,16,1,6,3495
1,16,1,6,3495
2,16,1,6,3495
1,16,3,6,2500
1,16,3,6,2500
1,16,3,6,2500
1,16,3,6,2500
1,16,6,6,2200
1,16,6,6,2200
1,16,5,6,3399
1,16,2,6,3700
1,16,6,6,2200
1,16,6,6,2200
1,16,6,6,2200
1,16,6,6,2200
1,16,6,6,2200
1,16,5,6,3399
1,16,6,6,3350
1,16,3,6,3350
1,16,2,6,3200
1,16,3,6,3350
1,16,3,5,3599
1,16,3,5,3599
1,16,6,6,2995
1,16,2,6,3495
1,16,2,6,3495
1,16,2,6,3495
1,16,2,6,3495
1,16,6,6,2995
1,16,2,6,3495
1,16,6,6,2995
1,16,5,6,3200
1,16,5,6,3200
1,16,5,6,3200
1,16,2,6,3495
1,16,2,6,3495
1,16,2,6,3495
1,16,4,6,3195
1,16,1,6,3695
1,16,5,6,3695
1,16,5,6,3695
1,16,5,6,3695
1,16,1,6,3695
1,16,1,6,3695
1,16,2,6,3200
1,16,3,3,4370
1,16,6,6,2894
1,16,4,6,3195
1,16,4,6,3195
2,16,4,6,3195
1,16,4,6,3200
1,16,3,4,3880
1,16,2,6,3495
1,16,2,6,3495
1,16,2,6,3495
1,16,5,6,3695
1,16,5,6,3695
1,16,1,6,3695
1,16,6,6,2894
1,16,6,6,2894
1,16,4,6,3195
1,16,6,6,2894
1,16,6,6,2894
1,16,4,6,3195
1,16,2,6,3200
1,16,5,6,3200
1,16,3,3,4370
1,20,6,6,3350
1,20,6,6,2494
1,20,6,6,2494
1,20,4,6,3195
1,20,6,6,3350
2,20,6,6,3350
1,20,3,6,2299
1,20,4,6,3195
1,20,1,6,3695
1,20,3,6,2299
1,20,3,6,2299
1,20,2,6,3200
1,20,1,6,3700
1,20,1,6,3700
1,20,1,6,3700
1,20,3,6,2299
1,20,3,6,2299
1,20,3,6,2299
1,20,2,6,3200
1,20,3,6,2299
1,20,3,6,2299
1,20,3,6,2299
1,20,5,6,2894
1,20,5,6,3599
1,20,6,6,2195
1,20,6,6,2195
1,20,3,6,2299
1,20,2,6,3700
1,20,1,2,7195
1,20,6,6,3200
1,20,6,6,3200
1,20,3,6,2299
1,20,1,6,3700
1,20,5,6,3599
1,20,6,6,2195
1,20,4,6,3695
1,20,1,6,3700
1,20,6,6,3200
1,20,6,6,3200
1,20,6,6,3200
1,20,6,6,3200
1,20,6,6,3200
1,20,5,6,2894
1,20,2,6,3700
1,20,6,6,2195
1,20,5,6,3200
1,20,1,6,2699
1,20,2,6,3910
1,20,5,6,3200
1,20,1,6,3700
1,20,1,6,3700
1,20,1,6,3700
1,20,1,6,3700
1,20,5,6,3200
1,20,2,6,3700
1,20,1,6,3700
1,20,5,6,2894
1,20,5,6,2894
1,20,2,6,3700
1,20,1,6,3700
1,20,4,6,2699
1,20,5,6,3200
1,20,5,6,3200
1,20,6,6,3200
1,20,1,6,3700
1,20,1,6,3700
1,20,6,6,3200
1,20,3,6,3350
1,20,3,6,3350
1,20,5,6,2500
1,20,1,6,4210
1,20,1,6,4210
1,20,2,6,3910
1,20,6,6,3200
1,20,6,6,3200
1,20,6,6,3200
1,20,6,6,3200
1,20,3,6,2295
1,20,3,6,2295
1,20,6,6,2195
1,20,4,6,2595
1,20,4,6,2595
1,20,4,6,2595
1,20,4,6,2595
1,20,2,6,3910
1,20,5,6,2894
1,20,5,6,2894
1,20,5,6,2894
1,20,5,6,2894
1,20,3,6,3350
1,20,6,6,3200
1,20,3,6,3350
1,20,3,6,3350
1,20,3,6,3350
1,20,6,6,2195
1,20,6,6,2195
1,20,5,6,3695
1,20,4,6,2999
1,20,5,6,2894
2,20,5,6,2894
1,20,5,6,2500
